term,source_warriner,source_nrc,is_multiword,valence_mean,arousal_mean,dominance_mean,merge_strategy,confidence
undivided,True,True,False,0.10875,-0.305,0.011249999999999991,both_weighted,0.9
procrastination,False,True,False,-0.354,-0.14,-0.018,nrc_only,0.7
honeysuckle,False,True,False,0.194,-0.098,0.034,nrc_only,0.7
reinsurer,False,True,False,0.519,-0.476,0.963,nrc_only,0.7
awol,False,True,False,-0.667,0.476,-0.5,nrc_only,0.7
vacation home,False,True,True,0.434,-0.06,0.26,nrc_only,0.7
regimental,True,True,False,-0.19550000000000003,-0.05674999999999997,0.33575000000000005,both_weighted,0.9
pass away,False,True,True,-0.392,-0.17,-0.226,nrc_only,0.7
humanrights,False,True,False,0.584,0.118,0.46,nrc_only,0.7
farcical,False,True,False,-0.188,-0.038,-0.482,nrc_only,0.7
spiders,False,True,False,-0.48,0.392,-0.264,nrc_only,0.7
leaver,False,True,False,-0.056,0.556,-0.292,nrc_only,0.7
nonconformity,False,True,False,0.167,0.111,0.63,nrc_only,0.7
bowel,True,True,False,-0.41775,-0.26175000000000004,-0.17149999999999999,both_weighted,0.9
big daddy,False,True,True,0.37,-0.03,0.13,nrc_only,0.7
accompanier,False,True,False,0.381,0.593,0.111,nrc_only,0.7
forsworn,False,True,False,-0.667,-0.208,-0.593,nrc_only,0.7
dampener,False,True,False,-0.5,-0.667,-0.556,nrc_only,0.7
boyhood,True,True,False,0.2815,0.05125000000000002,0.043749999999999956,both_weighted,0.9
beachhead,False,True,False,0.0,0.708,0.741,nrc_only,0.7
eternally grateful,False,True,True,0.466,0.016,0.274,nrc_only,0.7
candy cane,False,True,True,0.6,-0.174,-0.138,nrc_only,0.7
hippopotamus,True,True,False,0.2135,-0.13175,0.14249999999999996,both_weighted,0.9
quantification,False,True,False,0.167,0.593,0.667,nrc_only,0.7
daylong,False,True,False,0.148,-0.048,0.0,nrc_only,0.7
litheness,False,True,False,0.81,-0.167,0.292,nrc_only,0.7
undesirable,True,True,False,-0.573,0.01899999999999999,-0.39625,both_weighted,0.9
collectivist,False,True,False,0.292,-0.667,0.37,nrc_only,0.7
earn money,False,True,True,0.62,0.146,0.31,nrc_only,0.7
depose,True,True,False,-0.31399999999999995,-0.16750000000000004,-0.049,both_weighted,0.9
stewardess,True,True,False,0.23750000000000004,-0.11650000000000003,-0.01275000000000003,both_weighted,0.9
gritless,False,True,False,-0.667,-0.875,-0.963,nrc_only,0.7
happytweet,False,True,False,0.694,0.176,-0.126,nrc_only,0.7
threadworm,False,True,False,-1.0,0.542,-0.708,nrc_only,0.7
anguish,True,True,False,-0.5794999999999999,0.34325,-0.32625000000000004,both_weighted,0.9
chicken breast,False,True,True,0.038,0.03,0.0,nrc_only,0.7
alternative,True,True,False,0.16925,-0.30075,0.29725,both_weighted,0.9
compulsorily,False,True,False,-0.593,0.667,0.952,nrc_only,0.7
